image_path,extracted_text
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1133.png,eOJRiK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1134.png,9SHomH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1135.png,NOcYKV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1136.png,LGOqNg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1137.png,JFzem8
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1138.png,GkENZC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1139.png,LkSPMM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1140.png,7kswgw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1141.png,21taEY
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1142.png,yunPvu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1143.png,DOYbtx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1144.png,WRzTep
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1145.png,Jm]ROb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1146.png,DIRUun
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1147.png,UGA1Qj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1148.png,y6tTW
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1149.png,lodtIL
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1150.png,HFKZuU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1151.png,eujo3d
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1152.png,ONkVAK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1153.png,G3pVqv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1154.png,ykclnQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1155.png,bws3oM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1156.png,bpovqw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1157.png,P1uQl7
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1158.png,Livbml
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1159.png,mmEOrX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1160.png,hFMTDS
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1161.png,MCWMcu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1162.png,VDuLKb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1163.png,PX68rw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1164.png,fKaWHD
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1165.png,mpUIKS
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1166.png,UDQQID
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1167.png,VEh9jt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1168.png,ZKkaqz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1169.png,ClhDZB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1170.png,nXMOyz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1171.png,PSXku]
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1172.png,leHp4o
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1173.png,UrgUUy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1174.png,RDN Jix
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1175.png,ODPFux
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1176.png,t6ObgB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1177.png,CCwEbU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1178.png,vgmnFV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1179.png,JIKlpx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1180.png,wTroB4
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1181.png,MuSUZK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1182.png,UeQocz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1183.png,ymPcer
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1184.png,sg6TxV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1185.png,Yir3Zg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1186.png,eqXwnn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1187.png,GzSJom
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1188.png,TUSVqc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1189.png,4S8U7k
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1190.png,slKxPg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1191.png,B214hk
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1192.png,aNTfAP
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1193.png,PfAmzu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1194.png,tcSzE6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1195.png,L2gev9
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1196.png,T4SFOi
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1197.png,SWWf4c
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1198.png,b8mxJI
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1199.png,aNO780
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1200.png,r9AWMv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1201.png,ESt13M
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1202.png,Gdf8sg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1203.png,IrMj2v
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1204.png,ALkgH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1205.png,XOQJZC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1206.png,[4oSHm
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1207.png,kOcOAj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1208.png,cLAMSQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1209.png,uZbkOU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1210.png,YZjy JN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1211.png,ymyDmf
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1212.png,MpbsBc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1213.png,16OTND
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1214.png,tmnAnF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1215.png,PYxAsm
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1216.png,YZy Jzx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1217.png,XVWSid
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1218.png,4iQaC5
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1219.png,VIV834
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1220.png,PoyEuj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1221.png,OKZjZT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1222.png,OSVMoi
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1223.png,W2kzLA
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1224.png,UhKQeo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1225.png,w9hhPc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1226.png,KPARRh
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1227.png,FLxBfy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1228.png,JuWfHL
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1229.png,JbMsmf
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1230.png,AZHxuB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1231.png,C4V6TO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1232.png,YXyKmt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1233.png,FNsmT6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1234.png,irKxM3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1235.png,zfNfir
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1236.png,Ib6DkP
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1237.png,peGSMy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1238.png,k7Gxek
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1239.png,QMR2k4
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1240.png,OA8aEa
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1241.png,Dvbhof
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1242.png,ZHkGiK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1243.png,vuJ58i
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1244.png,jsblmg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1245.png,ZPWFpn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1246.png,hyyPEH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1247.png,ZQqET2
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1248.png,HMkpeu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1249.png,MUInSf
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1250.png,NYpqWM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1251.png,z084aN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1252.png,JaSHiv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1253.png,knmDTz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1254.png,ORJfZc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1255.png,LZhMhc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1256.png,IRimKN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1257.png,DTcHPS
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1258.png,ZJaKFY
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1259.png,HgqmLU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1260.png,9NC52i
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1261.png,ORg3vt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1262.png,KIOOB3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1263.png,nVAok5
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1264.png,BbdLjL
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1265.png,OgFsDJ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1266.png,nXWGFL
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1267.png,uhAIWS
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1268.png,IQVIJI
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1269.png,rfcDzx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1270.png,foDZto
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1271.png,12OpLe
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1272.png,ImdUCt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1273.png,Ce2h54
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1274.png,RcFJ9L
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1275.png,9JepFR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1276.png,XRRNRc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1277.png,3VZHgT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1278.png,ELZN4G
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1279.png,KRE408
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1280.png,IVdelr
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1281.png,PbsySc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1282.png,VGOCES
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1283.png,hSIMSo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1284.png,2galfg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1285.png,VCWHoh
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1286.png,PcZPsh
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1287.png,bq3MV9
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1288.png,BUmtmn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1289.png,jOkmyv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1290.png,Ip3FjG
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1291.png,PbsaJX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1292.png,k9HISO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1293.png,GLmH3n
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1294.png,VHLcdE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1295.png,VTIgOR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1296.png,bEdlvE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1297.png,J3bSGE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1298.png,DA16sT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1299.png,s2UjGo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1300.png,HnnAEQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1301.png,WxICBH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1302.png,GncvRC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1303.png,8jxsgA
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1304.png,tuEZGh
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1305.png,4GJpfB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1306.png,TLNiB6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1307.png,PhKUuk
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1308.png,GmMYNB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1309.png,AGwsiJ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1310.png,2okJqp
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1311.png,3losyb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1312.png,Bpottv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1313.png,nNPtc6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1314.png,AsFMBH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1315.png,rOfaKF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1316.png,hZDSJo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1317.png,6Krr3d
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1318.png,pEEONM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1319.png,mkSRoj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1320.png,9Pxe91
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1321.png,EF8rUO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1322.png,vCvylO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1323.png,pT2Eif
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1324.png,tWf84K
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1325.png,2SVFJU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1326.png,MYzitx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1327.png,gdNdlx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1328.png,xBoJiH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1329.png,ZdBpZW
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1330.png,2801PD
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1331.png,CrbB24
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1332.png,DbpUG7
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1333.png,bmboxe
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1334.png,anQlra
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1335.png,AjzrMo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1336.png,buDcys
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1337.png,YF3nLK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1338.png,QJZTlg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1339.png,HF2TmF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1340.png,zb6Kms
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1341.png,K3WIkW
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1342.png,DjYtCw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1343.png,Lkbdq3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1344.png,GumGao
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1345.png,JKNdJa
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1346.png,ipl184
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1347.png,Cj8NYq
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1348.png,Hmfmbw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1349.png,GIgCAP
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1350.png,JbQgug
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1351.png,zystgm
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1352.png,MeGTvr
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1353.png,VrDyzm
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1354.png,ZcjWYz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1355.png,OZ3GSh
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1356.png,sSrfqc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1357.png,YDBaHz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1358.png,3VeSbD
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1359.png,w9dxZM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1360.png,tv44ed
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1361.png,OM6OjP
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1362.png,HXRIDZ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1363.png,GlfdNj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1364.png,VSSxtf
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1365.png,a7q8j6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1366.png,OBqAHR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1367.png,RdWHKZ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1368.png,GQqVoK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1369.png,bSRyZB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1370.png,CRRHQC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1371.png,y3nhwN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1372.png,qygTTC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1373.png,HuxOHX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1374.png,eiWGJa
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1375.png,tiu7fb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1376.png,ip8QHd
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1377.png,IrLQrm
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1378.png,mlzqYg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1379.png,NHS2sp
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1380.png,ahOgSy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1381.png,9UsOrS
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1382.png,aabUfs
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1383.png,SwlVXu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1384.png,41dsEx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1385.png,2NwZBT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1386.png,hlclul
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1387.png,ZQgEbd
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1388.png,EGcixH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1389.png,AmMgos
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1390.png,MGRAHO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1391.png,YSANZC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1392.png,LUvHmo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1393.png,YOKYFJ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1394.png,mNGE4O
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1395.png,bkuACZ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1396.png,mRX46z
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1397.png,HrSI3F
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1398.png,Bk8EZR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1399.png,8TALTX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1400.png,uSKBmY
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1401.png,ElaJn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1402.png,NB7dfL
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1403.png,Aplaxo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1404.png,TL4IWj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1405.png,JuSSwi
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1406.png,NddcN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1407.png,SsLQMc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1408.png,WQXqh7
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1409.png,TOxxvu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1410.png,BIXzDh
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1411.png,SxfSqy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1412.png,HKUOOE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1413.png,gSskoG
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1414.png,bIBbld
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1415.png,8oXgyp
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1416.png,grTYRf
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1417.png,44sQHf
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1418.png,YSvX JV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1419.png,sLhAEw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1420.png,OwPaks
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1421.png,SGanMo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1422.png,HnPRop
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1423.png,dSHOOB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1424.png,zKjCd6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1425.png,Rzsbwv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1426.png,PaSUw8
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1427.png,NxBTTj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1428.png,hDXEms
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1429.png,jIUqqi
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1430.png,bJqRoV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_1431.png,uKWGdl
